,1. open,2. high,3. low,4. close,5. volume
2020-06-25,25.1900,25.1900,24.9900,25.0610,1664541
2020-06-26,24.8250,24.8400,24.7300,24.7850,13800
2020-06-29,24.6800,24.6800,24.5700,24.6007,10781
2020-06-30,24.7000,24.7200,24.6700,24.7070,12300
2020-07-01,24.7000,24.7100,24.6700,24.6900,8483
2020-07-02,24.6600,24.7000,24.6600,24.7000,19462
2020-07-06,24.7200,24.7800,24.7200,24.7520,8100
2020-07-07,24.8000,24.8000,24.6370,24.6370,8451
2020-07-08,24.3600,24.7000,24.3600,24.6650,6223
2020-07-09,24.6100,24.6100,24.5500,24.5960,13700
2020-07-10,24.5790,24.6800,24.5790,24.6460,4940
2020-07-13,24.7700,24.7700,24.5450,24.5450,2007
2020-07-14,24.6600,24.7300,24.6500,24.7200,32400
2020-07-15,24.8800,24.9100,24.8300,24.8790,12700
2020-07-16,24.8800,24.9200,24.8800,24.8810,13900
2020-07-17,24.9300,24.9800,24.9000,24.9730,9000
2020-07-20,25.0650,25.1050,25.0650,25.1050,1300
2020-07-21,25.2100,25.2700,25.1850,25.1970,80900
2020-07-22,25.2100,25.2699,25.2100,25.2689,3470
2020-07-23,25.1900,25.2065,25.1300,25.2065,3725
2020-07-24,25.2450,25.2508,25.2102,25.2508,13698
2020-07-27,25.2600,25.3200,25.2500,25.3192,9654
2020-07-28,25.2900,25.2900,25.2200,25.2429,17281
2020-07-29,25.3000,25.3681,25.3000,25.3681,9183
2020-07-30,25.2600,25.4400,25.2600,25.4400,2475
2020-07-31,25.3600,25.4900,25.3595,25.4900,23434
2020-08-03,25.4200,25.4712,25.4200,25.4712,2237
2020-08-04,25.4700,25.4700,25.4300,25.4697,3877
2020-08-05,25.5000,25.5100,25.4700,25.4904,7336
2020-08-06,25.5484,25.5672,25.5300,25.5672,11201
2020-08-07,25.5400,25.5400,25.4800,25.5200,9467
2020-08-10,25.5300,25.5600,25.5200,25.5305,4989
2020-08-11,25.5050,25.5050,25.3600,25.3600,3254
2020-08-12,25.4350,25.4350,25.3708,25.3708,789
2020-08-13,25.4500,25.4500,25.2877,25.2877,3984
2020-08-14,25.2100,25.2100,25.1549,25.1549,4326
2020-08-17,25.2700,25.2873,25.2300,25.2873,15770
2020-08-18,25.2500,25.3600,25.2500,25.3066,4822
2020-08-19,25.3000,25.3250,25.2539,25.2539,13349
